Enabling Source,Enabling Component,Enabling Component Description,Dependent Component,Dependent Component Description,Dependent Source,Linkage mandated by what US Code or OMB policy?,Enabling Source URL,Dependent Source URL,Enabling Source Agency,Dependent Source Agency,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 3.5: Ensure the safe development of genetically engineered organism using a science‐based regulatory framework,TBD - not in document,"USDA 2022 3.1: Foster Sustainable Economic Growth by Promoting Innovation, Building Resilience to Climate Change, and Expanding Renewable Energy","According to the United Nations report, the world population is expected to reach 9.6 billion by 2050. Feeding this population will require us to adopt new technologies and scientific approaches to sustainably increase agricultural production. To ensure U.S. private working lands and public landscapes are conserved and managed for future generations, the Department will provide technical and financial assistance using the latest technology and research available. Fundamental and applied research will explore the complex interactions between human systems and the environment. This knowledge can then be shared with producers and land managers through resources, tools, and decision support, leading to enhanced adoption of climate-smart practices. ",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 3.5: Ensure the safe development of genetically engineered organism using a science‐based regulatory framework,TBD - not in document,"USDA 2022 SG 4: Provide All Americans Safe, Nutritious Food","USDA plays a critical role in preventing foodborne illness and protecting public health, while ensuring Americans have access to healthy foods and beverages, as well as nutrition education that supports American agriculture and inspires public confidence. USDA is focused on ensuring that all Americans have consistent access to the safe, healthy, affordable foods and beverages essential to optimal health and well-being. While keeping the food supply safe, the Department must also reduce food insecurity and prioritize nutrition insecurity, which emphasizes providing Americans not just calories, but calories that matter for their health and well-being, as well as taking an equity lens to the Department’s efforts to make safe, nutritious food available to all Americans.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 4.1: Facilitate safe agricultural trade through the effective management of sanitary and phytosanitary issues,TBD - not in document,"USDA 2022 2.1: Protect Agricultural Health by Minimizing Major Diseases, Pests, and Wildlife Conflicts","The impacts of pests, diseases, and wildlife conflicts on agricultural production, commerce, and trade can be immense. USDA must balance keeping American agriculture safe while expanding access to new agricultural markets all across the globe. Domestically, USDA conducts emergency response activities that minimize threats and their impacts on agricultural industries, adapting to changes in agricultural risk by adjusting available resources to address these threats. Concurrently, the Department embarks on collaborative research to develop pest-resistant strains of crops and new animal-disease vaccines, expedites the approval of new treatments, and develops strategies to prevent and mitigate damage related to conflicts with wildlife.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 4.1: Facilitate safe agricultural trade through the effective management of sanitary and phytosanitary issues,TBD - not in document,USDA 2022 3.3: Expand All Producers’ Access to Global Markets Through Negotiation and Enforcement of Trade Agreements,"Agricultural exports are crucial to the economic viability of U.S. farmers and ranchers. USDA strives to ensure that U.S. exporters can sell safe, wholesome food and agricultural products around the world. Supporting a rules-based global trading system, USDA negotiates, monitors, and enforces trade agreements to ensure global market opportunities for U.S. agriculture. USDA administers a number of programs to support the expansion of global market access and uses its market development programs to support the trade-policy efforts of industry partners. The Department also works with other government Agencies, trade associations, and organizations to maintain and establish transparent, science-based standards for U.S. agricultural products. To maintain a level playing field for exporters, USDA provides technical and scientific expertise to successfully address barriers to trade, such as tariffs, food safety, and animal and plant health issues. Through its monitoring and enforcement efforts, the Department will also ensure the realization of anticipated benefits when new agreements are implemented.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 4.1: Facilitate safe agricultural trade through the effective management of sanitary and phytosanitary issues,TBD - not in document,USDA 2022 4.3: Prevent Foodborne Illness and Protect Public Health,"The USDA Food Safety and Inspection Service (FSIS) is committed to protecting public health, including the health of consumers and the safety of workers, by ensuring the safety of the Nation’s commercial supply of meat, poultry, and egg products. Thousands of inspectors across the Nation work to achieve this mission every day by verifying industry compliance with U.S. food safety regulations. USDA’s regulatory oversight and enforcement extends to both imported and domestically produced food products and assures consistent application of regulations and statutes.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 4.1: Facilitate safe agricultural trade through the effective management of sanitary and phytosanitary issues,TBD - not in document,Improving Federal Oversight of Food Safety,A government-wide approach is needed to address fragmentation in the federal food safety oversight system.,GAO 2021 High Risk List,GAO Report,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.gao.gov/assets/gao-21-119sp.pdf,USDA,GAO,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 4.1: Facilitate safe agricultural trade through the effective management of sanitary and phytosanitary issues,TBD - not in document,"USDA 2022 SG 4: Provide All Americans Safe, Nutritious Food","USDA plays a critical role in preventing foodborne illness and protecting public health, while ensuring Americans have access to healthy foods and beverages, as well as nutrition education that supports American agriculture and inspires public confidence. USDA is focused on ensuring that all Americans have consistent access to the safe, healthy, affordable foods and beverages essential to optimal health and well-being. While keeping the food supply safe, the Department must also reduce food insecurity and prioritize nutrition insecurity, which emphasizes providing Americans not just calories, but calories that matter for their health and well-being, as well as taking an equity lens to the Department’s efforts to make safe, nutritious food available to all Americans.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 4.2: Maintain and expand leadership role through international standard setting and collaboration,TBD - not in document,USDA 2022 3.4: Expand International Marketing Opportunities and Build Demand in Developing Countries through Delivery of Technical Assistance and Capacity Building,"USDA advances global competitiveness through the delivery of market development programs, technical assistance, and trade capacity building. These programs support the development of export markets and adherence to a rules-based trading system. USDA administers programs to build the capacity of developing countries to integrate into the global economy and become full trading partners with the United States. USDA works with these countries to move them along the agricultural market spectrum from developing to developed economies with promising demand potential. The Department’s market development programs assist U.S. exporters in increasing awareness and demand for their products worldwide. USDA also partners with domestic agricultural industries, foreign governments, and agricultural scientists, as well as overseas farmers, cooperatives, and businesses, to expand international marketing opportunities. Harnessing its extensive network of technical and scientific expertise, USDA successfully administers and implements these programs globally to the benefit of U.S. farmers and ranchers.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 4.3: Create safe export opportunities,TBD - not in document,"USDA 2022 2.1: Protect Agricultural Health by Minimizing Major Diseases, Pests, and Wildlife Conflicts","The impacts of pests, diseases, and wildlife conflicts on agricultural production, commerce, and trade can be immense. USDA must balance keeping American agriculture safe while expanding access to new agricultural markets all across the globe. Domestically, USDA conducts emergency response activities that minimize threats and their impacts on agricultural industries, adapting to changes in agricultural risk by adjusting available resources to address these threats. Concurrently, the Department embarks on collaborative research to develop pest-resistant strains of crops and new animal-disease vaccines, expedites the approval of new treatments, and develops strategies to prevent and mitigate damage related to conflicts with wildlife.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 4.3: Create safe export opportunities,TBD - not in document,USDA 2022 4.3: Prevent Foodborne Illness and Protect Public Health,"The USDA Food Safety and Inspection Service (FSIS) is committed to protecting public health, including the health of consumers and the safety of workers, by ensuring the safety of the Nation’s commercial supply of meat, poultry, and egg products. Thousands of inspectors across the Nation work to achieve this mission every day by verifying industry compliance with U.S. food safety regulations. USDA’s regulatory oversight and enforcement extends to both imported and domestically produced food products and assures consistent application of regulations and statutes.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 4.3: Create safe export opportunities,TBD - not in document,"USDA 2022 SG 4: Provide All Americans Safe, Nutritious Food","USDA plays a critical role in preventing foodborne illness and protecting public health, while ensuring Americans have access to healthy foods and beverages, as well as nutrition education that supports American agriculture and inspires public confidence. USDA is focused on ensuring that all Americans have consistent access to the safe, healthy, affordable foods and beverages essential to optimal health and well-being. While keeping the food supply safe, the Department must also reduce food insecurity and prioritize nutrition insecurity, which emphasizes providing Americans not just calories, but calories that matter for their health and well-being, as well as taking an equity lens to the Department’s efforts to make safe, nutritious food available to all Americans.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 4.4: Create safe import opportunities,TBD - not in document,USDA 2022 4.3: Prevent Foodborne Illness and Protect Public Health,"The USDA Food Safety and Inspection Service (FSIS) is committed to protecting public health, including the health of consumers and the safety of workers, by ensuring the safety of the Nation’s commercial supply of meat, poultry, and egg products. Thousands of inspectors across the Nation work to achieve this mission every day by verifying industry compliance with U.S. food safety regulations. USDA’s regulatory oversight and enforcement extends to both imported and domestically produced food products and assures consistent application of regulations and statutes.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 4.4: Create safe import opportunities,TBD - not in document,"USDA 2022 SG 4: Provide All Americans Safe, Nutritious Food","USDA plays a critical role in preventing foodborne illness and protecting public health, while ensuring Americans have access to healthy foods and beverages, as well as nutrition education that supports American agriculture and inspires public confidence. USDA is focused on ensuring that all Americans have consistent access to the safe, healthy, affordable foods and beverages essential to optimal health and well-being. While keeping the food supply safe, the Department must also reduce food insecurity and prioritize nutrition insecurity, which emphasizes providing Americans not just calories, but calories that matter for their health and well-being, as well as taking an equity lens to the Department’s efforts to make safe, nutritious food available to all Americans.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 4.5: Anticipate and communicate supply chain issues to domestic stakeholders and trading partners,TBD - not in document,"USDA 2022 2.2: Build Resilient Food Systems, Infrastructure, and Supply Chain","USDA works tirelessly to ensure that the food system is fair, resilient, competitive, and distributed. USDA will continue to employ innovation and develop new markets, both at home and abroad, to ensure that these goals are met. The Department supports efforts that bolster the economic growth of U.S. growers and producers, local and regional food systems, innovative production methodologies, and marketing strategies. In response to the increased demand for local and regional foods caused by the COVID-19 pandemic, USDA will prioritize investments that strengthen these markets and ensure food supply chain resilience for the future. Investing in local and regional food systems will further enhance the share of profits for those who grow, harvest, process, and prepare our food. Further, USDA will continue to advance opportunities in new markets abroad to better enable U.S. agriculture to access and sustain market growth.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 4.5: Anticipate and communicate supply chain issues to domestic stakeholders and trading partners,TBD - not in document,USDA 2022 3.3: Expand All Producers’ Access to Global Markets Through Negotiation and Enforcement of Trade Agreements,"Agricultural exports are crucial to the economic viability of U.S. farmers and ranchers. USDA strives to ensure that U.S. exporters can sell safe, wholesome food and agricultural products around the world. Supporting a rules-based global trading system, USDA negotiates, monitors, and enforces trade agreements to ensure global market opportunities for U.S. agriculture. USDA administers a number of programs to support the expansion of global market access and uses its market development programs to support the trade-policy efforts of industry partners. The Department also works with other government Agencies, trade associations, and organizations to maintain and establish transparent, science-based standards for U.S. agricultural products. To maintain a level playing field for exporters, USDA provides technical and scientific expertise to successfully address barriers to trade, such as tariffs, food safety, and animal and plant health issues. Through its monitoring and enforcement efforts, the Department will also ensure the realization of anticipated benefits when new agreements are implemented.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,"APHIS SPF 2022 5.1: Strengthen wildlife disease prevention, surveillance, and response",TBD - not in document,"USDA 2022 2.1: Protect Agricultural Health by Minimizing Major Diseases, Pests, and Wildlife Conflicts","The impacts of pests, diseases, and wildlife conflicts on agricultural production, commerce, and trade can be immense. USDA must balance keeping American agriculture safe while expanding access to new agricultural markets all across the globe. Domestically, USDA conducts emergency response activities that minimize threats and their impacts on agricultural industries, adapting to changes in agricultural risk by adjusting available resources to address these threats. Concurrently, the Department embarks on collaborative research to develop pest-resistant strains of crops and new animal-disease vaccines, expedites the approval of new treatments, and develops strategies to prevent and mitigate damage related to conflicts with wildlife.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,"APHIS SPF 2022 5.1: Strengthen wildlife disease prevention, surveillance, and response",TBD - not in document,USDA 2022 4.3: Prevent Foodborne Illness and Protect Public Health,"The USDA Food Safety and Inspection Service (FSIS) is committed to protecting public health, including the health of consumers and the safety of workers, by ensuring the safety of the Nation’s commercial supply of meat, poultry, and egg products. Thousands of inspectors across the Nation work to achieve this mission every day by verifying industry compliance with U.S. food safety regulations. USDA’s regulatory oversight and enforcement extends to both imported and domestically produced food products and assures consistent application of regulations and statutes.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,"APHIS SPF 2022 5.1: Strengthen wildlife disease prevention, surveillance, and response",TBD - not in document,Improving Federal Oversight of Food Safety,A government-wide approach is needed to address fragmentation in the federal food safety oversight system.,GAO 2021 High Risk List,GAO Report,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.gao.gov/assets/gao-21-119sp.pdf,USDA,GAO,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,"APHIS SPF 2022 5.1: Strengthen wildlife disease prevention, surveillance, and response",TBD - not in document,"USDA 2022 SG 4: Provide All Americans Safe, Nutritious Food","USDA plays a critical role in preventing foodborne illness and protecting public health, while ensuring Americans have access to healthy foods and beverages, as well as nutrition education that supports American agriculture and inspires public confidence. USDA is focused on ensuring that all Americans have consistent access to the safe, healthy, affordable foods and beverages essential to optimal health and well-being. While keeping the food supply safe, the Department must also reduce food insecurity and prioritize nutrition insecurity, which emphasizes providing Americans not just calories, but calories that matter for their health and well-being, as well as taking an equity lens to the Department’s efforts to make safe, nutritious food available to all Americans.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,GAO,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 5.2: Research and implement new and improved tools to enhance integrated wildlife damage management programs,TBD - not in document,"USDA 2022 2.1: Protect Agricultural Health by Minimizing Major Diseases, Pests, and Wildlife Conflicts","The impacts of pests, diseases, and wildlife conflicts on agricultural production, commerce, and trade can be immense. USDA must balance keeping American agriculture safe while expanding access to new agricultural markets all across the globe. Domestically, USDA conducts emergency response activities that minimize threats and their impacts on agricultural industries, adapting to changes in agricultural risk by adjusting available resources to address these threats. Concurrently, the Department embarks on collaborative research to develop pest-resistant strains of crops and new animal-disease vaccines, expedites the approval of new treatments, and develops strategies to prevent and mitigate damage related to conflicts with wildlife.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 5.3: Protect public health and safety by managing negative human/wildlife interactions,TBD - not in document,USDA 2022 1.1: Use Climate-Smart Management and Sound Science to Enhance the Health and Productivity of Agricultural Lands,"USDA is developing and implementing a comprehensive strategy to incentivize climate-smart decision-making by all agricultural and forest producers, landowners, and communities. The Department will build on its progress to integrate climate change adaptation and mitigation into programs and services as we work to support farmers; ranchers; forest landowners; partners; and urban, rural, and Tribal communities in tackling climate change. By increasing the sustainability of our forests, rangelands, and crop and livestock systems through the deployment of climate-smart and environmentally smart management, we will see improvements in the condition of these resources, the development of healthy ecosystems, and vibrant, resilient communities.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 5.3: Protect public health and safety by managing negative human/wildlife interactions,TBD - not in document,"USDA 2022 2.1: Protect Agricultural Health by Minimizing Major Diseases, Pests, and Wildlife Conflicts","The impacts of pests, diseases, and wildlife conflicts on agricultural production, commerce, and trade can be immense. USDA must balance keeping American agriculture safe while expanding access to new agricultural markets all across the globe. Domestically, USDA conducts emergency response activities that minimize threats and their impacts on agricultural industries, adapting to changes in agricultural risk by adjusting available resources to address these threats. Concurrently, the Department embarks on collaborative research to develop pest-resistant strains of crops and new animal-disease vaccines, expedites the approval of new treatments, and develops strategies to prevent and mitigate damage related to conflicts with wildlife.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 5.3: Protect public health and safety by managing negative human/wildlife interactions,TBD - not in document,USDA 2022 4.3: Prevent Foodborne Illness and Protect Public Health,"The USDA Food Safety and Inspection Service (FSIS) is committed to protecting public health, including the health of consumers and the safety of workers, by ensuring the safety of the Nation’s commercial supply of meat, poultry, and egg products. Thousands of inspectors across the Nation work to achieve this mission every day by verifying industry compliance with U.S. food safety regulations. USDA’s regulatory oversight and enforcement extends to both imported and domestically produced food products and assures consistent application of regulations and statutes.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 5.3: Protect public health and safety by managing negative human/wildlife interactions,TBD - not in document,Improving Federal Oversight of Food Safety,A government-wide approach is needed to address fragmentation in the federal food safety oversight system.,GAO 2021 High Risk List,GAO Report,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.gao.gov/assets/gao-21-119sp.pdf,USDA,GAO,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 5.3: Protect public health and safety by managing negative human/wildlife interactions,TBD - not in document,"USDA 2022 SG 4: Provide All Americans Safe, Nutritious Food","USDA plays a critical role in preventing foodborne illness and protecting public health, while ensuring Americans have access to healthy foods and beverages, as well as nutrition education that supports American agriculture and inspires public confidence. USDA is focused on ensuring that all Americans have consistent access to the safe, healthy, affordable foods and beverages essential to optimal health and well-being. While keeping the food supply safe, the Department must also reduce food insecurity and prioritize nutrition insecurity, which emphasizes providing Americans not just calories, but calories that matter for their health and well-being, as well as taking an equity lens to the Department’s efforts to make safe, nutritious food available to all Americans.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 5.5: Strengthen and expand partnerships at the National level,TBD - not in document,"USDA 2022 4.2: Encourage Healthy Dietary Choices through Data-Driven, Flexible, Customer-Focused Approaches","USDA shapes programs and policies and develops knowledge resources to promote healthy eating at individual, family, household, and community levels. The Department further uses these tools to promote fruit and vegetable consumption and other healthy eating behaviors through public-private partnerships and cutting-edge technologies. The Department is also working to improve access to healthful, locally produced food in underserved communities through a multifaceted strategy focused on food production, distribution, and both traditional and non-traditional retail options.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 6.3: Assist stakeholders with planning and preparations to ensure the safety and welfare of animals during disasters,TBD - not in document,"USDA 2022 2.1: Protect Agricultural Health by Minimizing Major Diseases, Pests, and Wildlife Conflicts","The impacts of pests, diseases, and wildlife conflicts on agricultural production, commerce, and trade can be immense. USDA must balance keeping American agriculture safe while expanding access to new agricultural markets all across the globe. Domestically, USDA conducts emergency response activities that minimize threats and their impacts on agricultural industries, adapting to changes in agricultural risk by adjusting available resources to address these threats. Concurrently, the Department embarks on collaborative research to develop pest-resistant strains of crops and new animal-disease vaccines, expedites the approval of new treatments, and develops strategies to prevent and mitigate damage related to conflicts with wildlife.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 6.3: Assist stakeholders with planning and preparations to ensure the safety and welfare of animals during disasters,TBD - not in document,USDA 2022 4.3: Prevent Foodborne Illness and Protect Public Health,"The USDA Food Safety and Inspection Service (FSIS) is committed to protecting public health, including the health of consumers and the safety of workers, by ensuring the safety of the Nation’s commercial supply of meat, poultry, and egg products. Thousands of inspectors across the Nation work to achieve this mission every day by verifying industry compliance with U.S. food safety regulations. USDA’s regulatory oversight and enforcement extends to both imported and domestically produced food products and assures consistent application of regulations and statutes.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 6.3: Assist stakeholders with planning and preparations to ensure the safety and welfare of animals during disasters,TBD - not in document,Improving Federal Oversight of Food Safety,A government-wide approach is needed to address fragmentation in the federal food safety oversight system.,GAO 2021 High Risk List,GAO Report,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.gao.gov/assets/gao-21-119sp.pdf,USDA,GAO,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,APHIS SPF 2022 6.3: Assist stakeholders with planning and preparations to ensure the safety and welfare of animals during disasters,TBD - not in document,"USDA 2022 SG 4: Provide All Americans Safe, Nutritious Food","USDA plays a critical role in preventing foodborne illness and protecting public health, while ensuring Americans have access to healthy foods and beverages, as well as nutrition education that supports American agriculture and inspires public confidence. USDA is focused on ensuring that all Americans have consistent access to the safe, healthy, affordable foods and beverages essential to optimal health and well-being. While keeping the food supply safe, the Department must also reduce food insecurity and prioritize nutrition insecurity, which emphasizes providing Americans not just calories, but calories that matter for their health and well-being, as well as taking an equity lens to the Department’s efforts to make safe, nutritious food available to all Americans.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,N/A,TBD - not in document,"USDA 2022 1.3: Restore, Protect, and Conserve Watersheds to Ensure Clean, Abundant, and Continuous Provision of Water Resources","The Nation’s forests and grasslands that provide clean and available water are a fundamental part of the American landscape and legacy that the Forest Service holds in trust for future and present generations. These lands, along with the millions of acres of well-managed, privately held forests and grasslands, provide clean air and water, forest and rangeland products, mineral and energy resources, jobs, and quality habitat for fish and wildlife. Productive agricultural landscapes, including clean and available water, healthy wetlands, streams and rivers, and abundant fish and wildlife, underlie robust tourism and recreational activities.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,N/A,TBD - not in document,USDA 2022 4.1: Increase Food Security Through Assistance and Access to Nutritious and Affordable Food,"USDA is committed to ensuring that every American has access to nutritious and affordable foods and beverages. The Food and Nutrition Service (FNS) is responsible for administering Federal domestic nutrition assistance programs while linking scientific research to the nutrition needs of consumers. The Department strives to make benefits accessible to those eligible to participate in nutrition assistance programs such as WIC and the Supplemental Nutrition Assistance Program (SNAP). While USDA’s ultimate objective is for economic opportunity to make nutrition assistance unnecessary for as many individuals and families as possible, the Department recognizes that this is not feasible for certain populations, such as those with special needs. This is a mission that no single agency can meet independently. ",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
APHIS Strategic Plan Framework 2022-2026,N/A,TBD - not in document,USDA 2022 5.2: Boost the Financial Security of Rural and Tribal Communities Through Access to Affordable Housing,"Access to affordable and safe housing is at the foundation of strong communities, healthy families, and vibrant economies. USDA is committed to ensuring that people living in rural and Tribal communities have equitable and affordable access to housing. The Department is on the frontlines of the affordable housing crisis and is committed to ensuring access to housing security in rural and Tribal communities. This commitment includes not only the building, repairing, and preserving of housing, but also reducing barriers to accessing housing and maintaining housing security. During the COVID-19 pandemic, USDA has worked to reduce foreclosures and evictions across rural America. Under President Biden’s American Rescue Plan, USDA was provided with funding to provide re-financing opportunities to distressed homeowners, as well as vital rental assistance to rent-overburdened tenants. As USDA works to address rural housing challenges, Rural Development will improve delivery of its housing programs and resources by embedding key Departmental priorities such as climate and equity. This includes continuing to identify opportunities to make housing more accessible, expanding outreach into underserved rural and Tribal communities, and committing to creating more sustainable and energy efficient housing. In doing so, Rural Development will help keep families in rural America financially secure in their homes, especially in the face of the COVID-19 pandemic.",USDA Strategic Plan 2022-2026,Agency,https://www.regulations.gov/document/APHIS-2022-0035-0001,https://www.regulations.gov/document/APHIS-2022-0035-0001,USDA,USDA,,,,,,,,,,,,,,,,,
