external_id,question_1,positive_effectiveness,positive_ease,positive_efficiency,positive_transparency,positive_humanity,positive_employee,positive_other,negative_effectiveness,negative_ease,negative_efficiency,negative_transparency,negative_humanity,negative_employee,negative_other,question_4
256,Data 256-1,Data 256-2,Data 256-3,Data 256-4,Data 256-5,Data 256-6,Data 256-7,Data 256-8,Data 256-9,Data 256-10,Data 256-11,Data 256-12,Data 256-12,Data 256-12,Data 256-12,Data 256-12
257,Data 257-1,Data 257-2,Data 257-3,Data 257-4,Data 257-5,Data 257-6,Data 257-7,Data 257-8,Data 257-9,Data 257-10,Data 257-11,Data 257-12,Data 257-12,Data 257-12,Data 257-12,Data 257-12
258,Data 258-1,Data 258-2,Data 258-3,Data 258-4,Data 258-5,Data 258-6,Data 258-7,Data 258-8,Data 258-9,Data 258-10,Data 258-11,Data 258-12,Data 258-12,Data 258-12,Data 258-12,Data 258-12
259,Data 259-1,Data 259-2,Data 259-3,Data 259-4,Data 259-5,Data 259-6,Data 259-7,Data 259-8,Data 259-9,Data 259-10,Data 259-11,Data 259-12,Data 259-12,Data 259-12,Data 259-12,Data 259-12
260,Data 260-1,Data 260-2,Data 260-3,Data 260-4,Data 260-5,Data 260-6,Data 260-7,Data 260-8,Data 260-9,Data 260-10,Data 260-11,Data 260-12,Data 260-12,Data 260-12,Data 260-12,Data 260-12
261,Data 261-1,Data 261-2,Data 261-3,Data 261-4,Data 261-5,Data 261-6,Data 261-7,Data 261-8,Data 261-9,Data 261-10,Data 261-11,Data 261-12,Data 261-12,Data 261-12,Data 261-12,Data 261-12
262,Data 262-1,Data 262-2,Data 262-3,Data 262-4,Data 262-5,Data 262-6,Data 262-7,Data 262-8,Data 262-9,Data 262-10,Data 262-11,Data 262-12,Data 262-12,Data 262-12,Data 262-12,Data 262-12
263,Data 263-1,Data 263-2,Data 263-3,Data 263-4,Data 263-5,Data 263-6,Data 263-7,Data 263-8,Data 263-9,Data 263-10,Data 263-11,Data 263-12,Data 263-12,Data 263-12,Data 263-12,Data 263-12
264,Data 264-1,Data 264-2,Data 264-3,Data 264-4,Data 264-5,Data 264-6,Data 264-7,Data 264-8,Data 264-9,Data 264-10,Data 264-11,Data 264-12,Data 264-12,Data 264-12,Data 264-12,Data 264-12
265,Data 265-1,Data 265-2,Data 265-3,Data 265-4,Data 265-5,Data 265-6,Data 265-7,Data 265-8,Data 265-9,Data 265-10,Data 265-11,Data 265-12,Data 265-12,Data 265-12,Data 265-12,Data 265-12
266,Data 266-1,Data 266-2,Data 266-3,Data 266-4,Data 266-5,Data 266-6,Data 266-7,Data 266-8,Data 266-9,Data 266-10,Data 266-11,Data 266-12,Data 266-12,Data 266-12,Data 266-12,Data 266-12
267,Data 267-1,Data 267-2,Data 267-3,Data 267-4,Data 267-5,Data 267-6,Data 267-7,Data 267-8,Data 267-9,Data 267-10,Data 267-11,Data 267-12,Data 267-12,Data 267-12,Data 267-12,Data 267-12
268,Data 268-1,Data 268-2,Data 268-3,Data 268-4,Data 268-5,Data 268-6,Data 268-7,Data 268-8,Data 268-9,Data 268-10,Data 268-11,Data 268-12,Data 268-12,Data 268-12,Data 268-12,Data 268-12
269,Data 269-1,Data 269-2,Data 269-3,Data 269-4,Data 269-5,Data 269-6,Data 269-7,Data 269-8,Data 269-9,Data 269-10,Data 269-11,Data 269-12,Data 269-12,Data 269-12,Data 269-12,Data 269-12
270,Data 270-1,Data 270-2,Data 270-3,Data 270-4,Data 270-5,Data 270-6,Data 270-7,Data 270-8,Data 270-9,Data 270-10,Data 270-11,Data 270-12,Data 270-12,Data 270-12,Data 270-12,Data 270-12
271,Data 271-1,Data 271-2,Data 271-3,Data 271-4,Data 271-5,Data 271-6,Data 271-7,Data 271-8,Data 271-9,Data 271-10,Data 271-11,Data 271-12,Data 271-12,Data 271-12,Data 271-12,Data 271-12
272,Data 272-1,Data 272-2,Data 272-3,Data 272-4,Data 272-5,Data 272-6,Data 272-7,Data 272-8,Data 272-9,Data 272-10,Data 272-11,Data 272-12,Data 272-12,Data 272-12,Data 272-12,Data 272-12
273,Data 273-1,Data 273-2,Data 273-3,Data 273-4,Data 273-5,Data 273-6,Data 273-7,Data 273-8,Data 273-9,Data 273-10,Data 273-11,Data 273-12,Data 273-12,Data 273-12,Data 273-12,Data 273-12
274,Data 274-1,Data 274-2,Data 274-3,Data 274-4,Data 274-5,Data 274-6,Data 274-7,Data 274-8,Data 274-9,Data 274-10,Data 274-11,Data 274-12,Data 274-12,Data 274-12,Data 274-12,Data 274-12
275,Data 275-1,Data 275-2,Data 275-3,Data 275-4,Data 275-5,Data 275-6,Data 275-7,Data 275-8,Data 275-9,Data 275-10,Data 275-11,Data 275-12,Data 275-12,Data 275-12,Data 275-12,Data 275-12
276,Data 276-1,Data 276-2,Data 276-3,Data 276-4,Data 276-5,Data 276-6,Data 276-7,Data 276-8,Data 276-9,Data 276-10,Data 276-11,Data 276-12,Data 276-12,Data 276-12,Data 276-12,Data 276-12
277,Data 277-1,Data 277-2,Data 277-3,Data 277-4,Data 277-5,Data 277-6,Data 277-7,Data 277-8,Data 277-9,Data 277-10,Data 277-11,Data 277-12,Data 277-12,Data 277-12,Data 277-12,Data 277-12
278,Data 278-1,Data 278-2,Data 278-3,Data 278-4,Data 278-5,Data 278-6,Data 278-7,Data 278-8,Data 278-9,Data 278-10,Data 278-11,Data 278-12,Data 278-12,Data 278-12,Data 278-12,Data 278-12
279,Data 279-1,Data 279-2,Data 279-3,Data 279-4,Data 279-5,Data 279-6,Data 279-7,Data 279-8,Data 279-9,Data 279-10,Data 279-11,Data 279-12,Data 279-12,Data 279-12,Data 279-12,Data 279-12
280,Data 280-1,Data 280-2,Data 280-3,Data 280-4,Data 280-5,Data 280-6,Data 280-7,Data 280-8,Data 280-9,Data 280-10,Data 280-11,Data 280-12,Data 280-12,Data 280-12,Data 280-12,Data 280-12
281,Data 281-1,Data 281-2,Data 281-3,Data 281-4,Data 281-5,Data 281-6,Data 281-7,Data 281-8,Data 281-9,Data 281-10,Data 281-11,Data 281-12,Data 281-12,Data 281-12,Data 281-12,Data 281-12
282,Data 282-1,Data 282-2,Data 282-3,Data 282-4,Data 282-5,Data 282-6,Data 282-7,Data 282-8,Data 282-9,Data 282-10,Data 282-11,Data 282-12,Data 282-12,Data 282-12,Data 282-12,Data 282-12
283,Data 283-1,Data 283-2,Data 283-3,Data 283-4,Data 283-5,Data 283-6,Data 283-7,Data 283-8,Data 283-9,Data 283-10,Data 283-11,Data 283-12,Data 283-12,Data 283-12,Data 283-12,Data 283-12
284,Data 284-1,Data 284-2,Data 284-3,Data 284-4,Data 284-5,Data 284-6,Data 284-7,Data 284-8,Data 284-9,Data 284-10,Data 284-11,Data 284-12,Data 284-12,Data 284-12,Data 284-12,Data 284-12
285,Data 285-1,Data 285-2,Data 285-3,Data 285-4,Data 285-5,Data 285-6,Data 285-7,Data 285-8,Data 285-9,Data 285-10,Data 285-11,Data 285-12,Data 285-12,Data 285-12,Data 285-12,Data 285-12
286,Data 286-1,Data 286-2,Data 286-3,Data 286-4,Data 286-5,Data 286-6,Data 286-7,Data 286-8,Data 286-9,Data 286-10,Data 286-11,Data 286-12,Data 286-12,Data 286-12,Data 286-12,Data 286-12
287,Data 287-1,Data 287-2,Data 287-3,Data 287-4,Data 287-5,Data 287-6,Data 287-7,Data 287-8,Data 287-9,Data 287-10,Data 287-11,Data 287-12,Data 287-12,Data 287-12,Data 287-12,Data 287-12
288,Data 288-1,Data 288-2,Data 288-3,Data 288-4,Data 288-5,Data 288-6,Data 288-7,Data 288-8,Data 288-9,Data 288-10,Data 288-11,Data 288-12,Data 288-12,Data 288-12,Data 288-12,Data 288-12
289,Data 289-1,Data 289-2,Data 289-3,Data 289-4,Data 289-5,Data 289-6,Data 289-7,Data 289-8,Data 289-9,Data 289-10,Data 289-11,Data 289-12,Data 289-12,Data 289-12,Data 289-12,Data 289-12
290,Data 290-1,Data 290-2,Data 290-3,Data 290-4,Data 290-5,Data 290-6,Data 290-7,Data 290-8,Data 290-9,Data 290-10,Data 290-11,Data 290-12,Data 290-12,Data 290-12,Data 290-12,Data 290-12
291,Data 291-1,Data 291-2,Data 291-3,Data 291-4,Data 291-5,Data 291-6,Data 291-7,Data 291-8,Data 291-9,Data 291-10,Data 291-11,Data 291-12,Data 291-12,Data 291-12,Data 291-12,Data 291-12
292,Data 292-1,Data 292-2,Data 292-3,Data 292-4,Data 292-5,Data 292-6,Data 292-7,Data 292-8,Data 292-9,Data 292-10,Data 292-11,Data 292-12,Data 292-12,Data 292-12,Data 292-12,Data 292-12
293,Data 293-1,Data 293-2,Data 293-3,Data 293-4,Data 293-5,Data 293-6,Data 293-7,Data 293-8,Data 293-9,Data 293-10,Data 293-11,Data 293-12,Data 293-12,Data 293-12,Data 293-12,Data 293-12
294,Data 294-1,Data 294-2,Data 294-3,Data 294-4,Data 294-5,Data 294-6,Data 294-7,Data 294-8,Data 294-9,Data 294-10,Data 294-11,Data 294-12,Data 294-12,Data 294-12,Data 294-12,Data 294-12
295,Data 295-1,Data 295-2,Data 295-3,Data 295-4,Data 295-5,Data 295-6,Data 295-7,Data 295-8,Data 295-9,Data 295-10,Data 295-11,Data 295-12,Data 295-12,Data 295-12,Data 295-12,Data 295-12
296,Data 296-1,Data 296-2,Data 296-3,Data 296-4,Data 296-5,Data 296-6,Data 296-7,Data 296-8,Data 296-9,Data 296-10,Data 296-11,Data 296-12,Data 296-12,Data 296-12,Data 296-12,Data 296-12
297,Data 297-1,Data 297-2,Data 297-3,Data 297-4,Data 297-5,Data 297-6,Data 297-7,Data 297-8,Data 297-9,Data 297-10,Data 297-11,Data 297-12,Data 297-12,Data 297-12,Data 297-12,Data 297-12
298,Data 298-1,Data 298-2,Data 298-3,Data 298-4,Data 298-5,Data 298-6,Data 298-7,Data 298-8,Data 298-9,Data 298-10,Data 298-11,Data 298-12,Data 298-12,Data 298-12,Data 298-12,Data 298-12
299,Data 299-1,Data 299-2,Data 299-3,Data 299-4,Data 299-5,Data 299-6,Data 299-7,Data 299-8,Data 299-9,Data 299-10,Data 299-11,Data 299-12,Data 299-12,Data 299-12,Data 299-12,Data 299-12
300,Data 300-1,Data 300-2,Data 300-3,Data 300-4,Data 300-5,Data 300-6,Data 300-7,Data 300-8,Data 300-9,Data 300-10,Data 300-11,Data 300-12,Data 300-12,Data 300-12,Data 300-12,Data 300-12
301,Data 301-1,Data 301-2,Data 301-3,Data 301-4,Data 301-5,Data 301-6,Data 301-7,Data 301-8,Data 301-9,Data 301-10,Data 301-11,Data 301-12,Data 301-12,Data 301-12,Data 301-12,Data 301-12
302,Data 302-1,Data 302-2,Data 302-3,Data 302-4,Data 302-5,Data 302-6,Data 302-7,Data 302-8,Data 302-9,Data 302-10,Data 302-11,Data 302-12,Data 302-12,Data 302-12,Data 302-12,Data 302-12
303,Data 303-1,Data 303-2,Data 303-3,Data 303-4,Data 303-5,Data 303-6,Data 303-7,Data 303-8,Data 303-9,Data 303-10,Data 303-11,Data 303-12,Data 303-12,Data 303-12,Data 303-12,Data 303-12
304,Data 304-1,Data 304-2,Data 304-3,Data 304-4,Data 304-5,Data 304-6,Data 304-7,Data 304-8,Data 304-9,Data 304-10,Data 304-11,Data 304-12,Data 304-12,Data 304-12,Data 304-12,Data 304-12
305,Data 305-1,Data 305-2,Data 305-3,Data 305-4,Data 305-5,Data 305-6,Data 305-7,Data 305-8,Data 305-9,Data 305-10,Data 305-11,Data 305-12,Data 305-12,Data 305-12,Data 305-12,Data 305-12
306,Data 306-1,Data 306-2,Data 306-3,Data 306-4,Data 306-5,Data 306-6,Data 306-7,Data 306-8,Data 306-9,Data 306-10,Data 306-11,Data 306-12,Data 306-12,Data 306-12,Data 306-12,Data 306-12
307,Data 307-1,Data 307-2,Data 307-3,Data 307-4,Data 307-5,Data 307-6,Data 307-7,Data 307-8,Data 307-9,Data 307-10,Data 307-11,Data 307-12,Data 307-12,Data 307-12,Data 307-12,Data 307-12
308,Data 308-1,Data 308-2,Data 308-3,Data 308-4,Data 308-5,Data 308-6,Data 308-7,Data 308-8,Data 308-9,Data 308-10,Data 308-11,Data 308-12,Data 308-12,Data 308-12,Data 308-12,Data 308-12
309,Data 309-1,Data 309-2,Data 309-3,Data 309-4,Data 309-5,Data 309-6,Data 309-7,Data 309-8,Data 309-9,Data 309-10,Data 309-11,Data 309-12,Data 309-12,Data 309-12,Data 309-12,Data 309-12
310,Data 310-1,Data 310-2,Data 310-3,Data 310-4,Data 310-5,Data 310-6,Data 310-7,Data 310-8,Data 310-9,Data 310-10,Data 310-11,Data 310-12,Data 310-12,Data 310-12,Data 310-12,Data 310-12
311,Data 311-1,Data 311-2,Data 311-3,Data 311-4,Data 311-5,Data 311-6,Data 311-7,Data 311-8,Data 311-9,Data 311-10,Data 311-11,Data 311-12,Data 311-12,Data 311-12,Data 311-12,Data 311-12
312,Data 312-1,Data 312-2,Data 312-3,Data 312-4,Data 312-5,Data 312-6,Data 312-7,Data 312-8,Data 312-9,Data 312-10,Data 312-11,Data 312-12,Data 312-12,Data 312-12,Data 312-12,Data 312-12
313,Data 313-1,Data 313-2,Data 313-3,Data 313-4,Data 313-5,Data 313-6,Data 313-7,Data 313-8,Data 313-9,Data 313-10,Data 313-11,Data 313-12,Data 313-12,Data 313-12,Data 313-12,Data 313-12
314,Data 314-1,Data 314-2,Data 314-3,Data 314-4,Data 314-5,Data 314-6,Data 314-7,Data 314-8,Data 314-9,Data 314-10,Data 314-11,Data 314-12,Data 314-12,Data 314-12,Data 314-12,Data 314-12
315,Data 315-1,Data 315-2,Data 315-3,Data 315-4,Data 315-5,Data 315-6,Data 315-7,Data 315-8,Data 315-9,Data 315-10,Data 315-11,Data 315-12,Data 315-12,Data 315-12,Data 315-12,Data 315-12
316,Data 316-1,Data 316-2,Data 316-3,Data 316-4,Data 316-5,Data 316-6,Data 316-7,Data 316-8,Data 316-9,Data 316-10,Data 316-11,Data 316-12,Data 316-12,Data 316-12,Data 316-12,Data 316-12
317,Data 317-1,Data 317-2,Data 317-3,Data 317-4,Data 317-5,Data 317-6,Data 317-7,Data 317-8,Data 317-9,Data 317-10,Data 317-11,Data 317-12,Data 317-12,Data 317-12,Data 317-12,Data 317-12
318,Data 318-1,Data 318-2,Data 318-3,Data 318-4,Data 318-5,Data 318-6,Data 318-7,Data 318-8,Data 318-9,Data 318-10,Data 318-11,Data 318-12,Data 318-12,Data 318-12,Data 318-12,Data 318-12
319,Data 319-1,Data 319-2,Data 319-3,Data 319-4,Data 319-5,Data 319-6,Data 319-7,Data 319-8,Data 319-9,Data 319-10,Data 319-11,Data 319-12,Data 319-12,Data 319-12,Data 319-12,Data 319-12
320,Data 320-1,Data 320-2,Data 320-3,Data 320-4,Data 320-5,Data 320-6,Data 320-7,Data 320-8,Data 320-9,Data 320-10,Data 320-11,Data 320-12,Data 320-12,Data 320-12,Data 320-12,Data 320-12
321,Data 321-1,Data 321-2,Data 321-3,Data 321-4,Data 321-5,Data 321-6,Data 321-7,Data 321-8,Data 321-9,Data 321-10,Data 321-11,Data 321-12,Data 321-12,Data 321-12,Data 321-12,Data 321-12
322,Data 322-1,Data 322-2,Data 322-3,Data 322-4,Data 322-5,Data 322-6,Data 322-7,Data 322-8,Data 322-9,Data 322-10,Data 322-11,Data 322-12,Data 322-12,Data 322-12,Data 322-12,Data 322-12
323,Data 323-1,Data 323-2,Data 323-3,Data 323-4,Data 323-5,Data 323-6,Data 323-7,Data 323-8,Data 323-9,Data 323-10,Data 323-11,Data 323-12,Data 323-12,Data 323-12,Data 323-12,Data 323-12
324,Data 324-1,Data 324-2,Data 324-3,Data 324-4,Data 324-5,Data 324-6,Data 324-7,Data 324-8,Data 324-9,Data 324-10,Data 324-11,Data 324-12,Data 324-12,Data 324-12,Data 324-12,Data 324-12
325,Data 325-1,Data 325-2,Data 325-3,Data 325-4,Data 325-5,Data 325-6,Data 325-7,Data 325-8,Data 325-9,Data 325-10,Data 325-11,Data 325-12,Data 325-12,Data 325-12,Data 325-12,Data 325-12
326,Data 326-1,Data 326-2,Data 326-3,Data 326-4,Data 326-5,Data 326-6,Data 326-7,Data 326-8,Data 326-9,Data 326-10,Data 326-11,Data 326-12,Data 326-12,Data 326-12,Data 326-12,Data 326-12
327,Data 327-1,Data 327-2,Data 327-3,Data 327-4,Data 327-5,Data 327-6,Data 327-7,Data 327-8,Data 327-9,Data 327-10,Data 327-11,Data 327-12,Data 327-12,Data 327-12,Data 327-12,Data 327-12
328,Data 328-1,Data 328-2,Data 328-3,Data 328-4,Data 328-5,Data 328-6,Data 328-7,Data 328-8,Data 328-9,Data 328-10,Data 328-11,Data 328-12,Data 328-12,Data 328-12,Data 328-12,Data 328-12
329,Data 329-1,Data 329-2,Data 329-3,Data 329-4,Data 329-5,Data 329-6,Data 329-7,Data 329-8,Data 329-9,Data 329-10,Data 329-11,Data 329-12,Data 329-12,Data 329-12,Data 329-12,Data 329-12
330,Data 330-1,Data 330-2,Data 330-3,Data 330-4,Data 330-5,Data 330-6,Data 330-7,Data 330-8,Data 330-9,Data 330-10,Data 330-11,Data 330-12,Data 330-12,Data 330-12,Data 330-12,Data 330-12
331,Data 331-1,Data 331-2,Data 331-3,Data 331-4,Data 331-5,Data 331-6,Data 331-7,Data 331-8,Data 331-9,Data 331-10,Data 331-11,Data 331-12,Data 331-12,Data 331-12,Data 331-12,Data 331-12
332,Data 332-1,Data 332-2,Data 332-3,Data 332-4,Data 332-5,Data 332-6,Data 332-7,Data 332-8,Data 332-9,Data 332-10,Data 332-11,Data 332-12,Data 332-12,Data 332-12,Data 332-12,Data 332-12
333,Data 333-1,Data 333-2,Data 333-3,Data 333-4,Data 333-5,Data 333-6,Data 333-7,Data 333-8,Data 333-9,Data 333-10,Data 333-11,Data 333-12,Data 333-12,Data 333-12,Data 333-12,Data 333-12
334,Data 334-1,Data 334-2,Data 334-3,Data 334-4,Data 334-5,Data 334-6,Data 334-7,Data 334-8,Data 334-9,Data 334-10,Data 334-11,Data 334-12,Data 334-12,Data 334-12,Data 334-12,Data 334-12
335,Data 335-1,Data 335-2,Data 335-3,Data 335-4,Data 335-5,Data 335-6,Data 335-7,Data 335-8,Data 335-9,Data 335-10,Data 335-11,Data 335-12,Data 335-12,Data 335-12,Data 335-12,Data 335-12
336,Data 336-1,Data 336-2,Data 336-3,Data 336-4,Data 336-5,Data 336-6,Data 336-7,Data 336-8,Data 336-9,Data 336-10,Data 336-11,Data 336-12,Data 336-12,Data 336-12,Data 336-12,Data 336-12
337,Data 337-1,Data 337-2,Data 337-3,Data 337-4,Data 337-5,Data 337-6,Data 337-7,Data 337-8,Data 337-9,Data 337-10,Data 337-11,Data 337-12,Data 337-12,Data 337-12,Data 337-12,Data 337-12
338,Data 338-1,Data 338-2,Data 338-3,Data 338-4,Data 338-5,Data 338-6,Data 338-7,Data 338-8,Data 338-9,Data 338-10,Data 338-11,Data 338-12,Data 338-12,Data 338-12,Data 338-12,Data 338-12
339,Data 339-1,Data 339-2,Data 339-3,Data 339-4,Data 339-5,Data 339-6,Data 339-7,Data 339-8,Data 339-9,Data 339-10,Data 339-11,Data 339-12,Data 339-12,Data 339-12,Data 339-12,Data 339-12
340,Data 340-1,Data 340-2,Data 340-3,Data 340-4,Data 340-5,Data 340-6,Data 340-7,Data 340-8,Data 340-9,Data 340-10,Data 340-11,Data 340-12,Data 340-12,Data 340-12,Data 340-12,Data 340-12
341,Data 341-1,Data 341-2,Data 341-3,Data 341-4,Data 341-5,Data 341-6,Data 341-7,Data 341-8,Data 341-9,Data 341-10,Data 341-11,Data 341-12,Data 341-12,Data 341-12,Data 341-12,Data 341-12
342,Data 342-1,Data 342-2,Data 342-3,Data 342-4,Data 342-5,Data 342-6,Data 342-7,Data 342-8,Data 342-9,Data 342-10,Data 342-11,Data 342-12,Data 342-12,Data 342-12,Data 342-12,Data 342-12
343,Data 343-1,Data 343-2,Data 343-3,Data 343-4,Data 343-5,Data 343-6,Data 343-7,Data 343-8,Data 343-9,Data 343-10,Data 343-11,Data 343-12,Data 343-12,Data 343-12,Data 343-12,Data 343-12
344,Data 344-1,Data 344-2,Data 344-3,Data 344-4,Data 344-5,Data 344-6,Data 344-7,Data 344-8,Data 344-9,Data 344-10,Data 344-11,Data 344-12,Data 344-12,Data 344-12,Data 344-12,Data 344-12
345,Data 345-1,Data 345-2,Data 345-3,Data 345-4,Data 345-5,Data 345-6,Data 345-7,Data 345-8,Data 345-9,Data 345-10,Data 345-11,Data 345-12,Data 345-12,Data 345-12,Data 345-12,Data 345-12
346,Data 346-1,Data 346-2,Data 346-3,Data 346-4,Data 346-5,Data 346-6,Data 346-7,Data 346-8,Data 346-9,Data 346-10,Data 346-11,Data 346-12,Data 346-12,Data 346-12,Data 346-12,Data 346-12
347,Data 347-1,Data 347-2,Data 347-3,Data 347-4,Data 347-5,Data 347-6,Data 347-7,Data 347-8,Data 347-9,Data 347-10,Data 347-11,Data 347-12,Data 347-12,Data 347-12,Data 347-12,Data 347-12
348,Data 348-1,Data 348-2,Data 348-3,Data 348-4,Data 348-5,Data 348-6,Data 348-7,Data 348-8,Data 348-9,Data 348-10,Data 348-11,Data 348-12,Data 348-12,Data 348-12,Data 348-12,Data 348-12
349,Data 349-1,Data 349-2,Data 349-3,Data 349-4,Data 349-5,Data 349-6,Data 349-7,Data 349-8,Data 349-9,Data 349-10,Data 349-11,Data 349-12,Data 349-12,Data 349-12,Data 349-12,Data 349-12
350,Data 350-1,Data 350-2,Data 350-3,Data 350-4,Data 350-5,Data 350-6,Data 350-7,Data 350-8,Data 350-9,Data 350-10,Data 350-11,Data 350-12,Data 350-12,Data 350-12,Data 350-12,Data 350-12
351,Data 351-1,Data 351-2,Data 351-3,Data 351-4,Data 351-5,Data 351-6,Data 351-7,Data 351-8,Data 351-9,Data 351-10,Data 351-11,Data 351-12,Data 351-12,Data 351-12,Data 351-12,Data 351-12
352,Data 352-1,Data 352-2,Data 352-3,Data 352-4,Data 352-5,Data 352-6,Data 352-7,Data 352-8,Data 352-9,Data 352-10,Data 352-11,Data 352-12,Data 352-12,Data 352-12,Data 352-12,Data 352-12
353,Data 353-1,Data 353-2,Data 353-3,Data 353-4,Data 353-5,Data 353-6,Data 353-7,Data 353-8,Data 353-9,Data 353-10,Data 353-11,Data 353-12,Data 353-12,Data 353-12,Data 353-12,Data 353-12
354,Data 354-1,Data 354-2,Data 354-3,Data 354-4,Data 354-5,Data 354-6,Data 354-7,Data 354-8,Data 354-9,Data 354-10,Data 354-11,Data 354-12,Data 354-12,Data 354-12,Data 354-12,Data 354-12
355,Data 355-1,Data 355-2,Data 355-3,Data 355-4,Data 355-5,Data 355-6,Data 355-7,Data 355-8,Data 355-9,Data 355-10,Data 355-11,Data 355-12,Data 355-12,Data 355-12,Data 355-12,Data 355-12
356,Data 356-1,Data 356-2,Data 356-3,Data 356-4,Data 356-5,Data 356-6,Data 356-7,Data 356-8,Data 356-9,Data 356-10,Data 356-11,Data 356-12,Data 356-12,Data 356-12,Data 356-12,Data 356-12
357,Data 357-1,Data 357-2,Data 357-3,Data 357-4,Data 357-5,Data 357-6,Data 357-7,Data 357-8,Data 357-9,Data 357-10,Data 357-11,Data 357-12,Data 357-12,Data 357-12,Data 357-12,Data 357-12
358,Data 358-1,Data 358-2,Data 358-3,Data 358-4,Data 358-5,Data 358-6,Data 358-7,Data 358-8,Data 358-9,Data 358-10,Data 358-11,Data 358-12,Data 358-12,Data 358-12,Data 358-12,Data 358-12
359,Data 359-1,Data 359-2,Data 359-3,Data 359-4,Data 359-5,Data 359-6,Data 359-7,Data 359-8,Data 359-9,Data 359-10,Data 359-11,Data 359-12,Data 359-12,Data 359-12,Data 359-12,Data 359-12
360,Data 360-1,Data 360-2,Data 360-3,Data 360-4,Data 360-5,Data 360-6,Data 360-7,Data 360-8,Data 360-9,Data 360-10,Data 360-11,Data 360-12,Data 360-12,Data 360-12,Data 360-12,Data 360-12
361,Data 361-1,Data 361-2,Data 361-3,Data 361-4,Data 361-5,Data 361-6,Data 361-7,Data 361-8,Data 361-9,Data 361-10,Data 361-11,Data 361-12,Data 361-12,Data 361-12,Data 361-12,Data 361-12
362,Data 362-1,Data 362-2,Data 362-3,Data 362-4,Data 362-5,Data 362-6,Data 362-7,Data 362-8,Data 362-9,Data 362-10,Data 362-11,Data 362-12,Data 362-12,Data 362-12,Data 362-12,Data 362-12
363,Data 363-1,Data 363-2,Data 363-3,Data 363-4,Data 363-5,Data 363-6,Data 363-7,Data 363-8,Data 363-9,Data 363-10,Data 363-11,Data 363-12,Data 363-12,Data 363-12,Data 363-12,Data 363-12
364,Data 364-1,Data 364-2,Data 364-3,Data 364-4,Data 364-5,Data 364-6,Data 364-7,Data 364-8,Data 364-9,Data 364-10,Data 364-11,Data 364-12,Data 364-12,Data 364-12,Data 364-12,Data 364-12
365,Data 365-1,Data 365-2,Data 365-3,Data 365-4,Data 365-5,Data 365-6,Data 365-7,Data 365-8,Data 365-9,Data 365-10,Data 365-11,Data 365-12,Data 365-12,Data 365-12,Data 365-12,Data 365-12
366,Data 366-1,Data 366-2,Data 366-3,Data 366-4,Data 366-5,Data 366-6,Data 366-7,Data 366-8,Data 366-9,Data 366-10,Data 366-11,Data 366-12,Data 366-12,Data 366-12,Data 366-12,Data 366-12
367,Data 367-1,Data 367-2,Data 367-3,Data 367-4,Data 367-5,Data 367-6,Data 367-7,Data 367-8,Data 367-9,Data 367-10,Data 367-11,Data 367-12,Data 367-12,Data 367-12,Data 367-12,Data 367-12
368,Data 368-1,Data 368-2,Data 368-3,Data 368-4,Data 368-5,Data 368-6,Data 368-7,Data 368-8,Data 368-9,Data 368-10,Data 368-11,Data 368-12,Data 368-12,Data 368-12,Data 368-12,Data 368-12
369,Data 369-1,Data 369-2,Data 369-3,Data 369-4,Data 369-5,Data 369-6,Data 369-7,Data 369-8,Data 369-9,Data 369-10,Data 369-11,Data 369-12,Data 369-12,Data 369-12,Data 369-12,Data 369-12
370,Data 370-1,Data 370-2,Data 370-3,Data 370-4,Data 370-5,Data 370-6,Data 370-7,Data 370-8,Data 370-9,Data 370-10,Data 370-11,Data 370-12,Data 370-12,Data 370-12,Data 370-12,Data 370-12
371,Data 371-1,Data 371-2,Data 371-3,Data 371-4,Data 371-5,Data 371-6,Data 371-7,Data 371-8,Data 371-9,Data 371-10,Data 371-11,Data 371-12,Data 371-12,Data 371-12,Data 371-12,Data 371-12
372,Data 372-1,Data 372-2,Data 372-3,Data 372-4,Data 372-5,Data 372-6,Data 372-7,Data 372-8,Data 372-9,Data 372-10,Data 372-11,Data 372-12,Data 372-12,Data 372-12,Data 372-12,Data 372-12
373,Data 373-1,Data 373-2,Data 373-3,Data 373-4,Data 373-5,Data 373-6,Data 373-7,Data 373-8,Data 373-9,Data 373-10,Data 373-11,Data 373-12,Data 373-12,Data 373-12,Data 373-12,Data 373-12
374,Data 374-1,Data 374-2,Data 374-3,Data 374-4,Data 374-5,Data 374-6,Data 374-7,Data 374-8,Data 374-9,Data 374-10,Data 374-11,Data 374-12,Data 374-12,Data 374-12,Data 374-12,Data 374-12
375,Data 375-1,Data 375-2,Data 375-3,Data 375-4,Data 375-5,Data 375-6,Data 375-7,Data 375-8,Data 375-9,Data 375-10,Data 375-11,Data 375-12,Data 375-12,Data 375-12,Data 375-12,Data 375-12
376,Data 376-1,Data 376-2,Data 376-3,Data 376-4,Data 376-5,Data 376-6,Data 376-7,Data 376-8,Data 376-9,Data 376-10,Data 376-11,Data 376-12,Data 376-12,Data 376-12,Data 376-12,Data 376-12
